,time,716,738,1119,1164,1186,761,694,1142,1209,739,1187,717,1120,1165
42,42,561.5099375,0.0,0.0,557.651625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43,562.2539375,0.0,0.0,557.34975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,563.083875,0.0,0.0,557.135375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,563.9994375,0.0,0.0,557.008625,0.0,816.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,46,565.000125,0.0,0.0,556.9695625,0.0,813.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,47,566.0854375,0.0,0.0,557.01825,0.0,809.74725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48,567.2550625,0.0,0.0,557.154625,0.0,806.189375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49,568.5083125,0.0,0.0,557.3785625,0.0,802.6760625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50,569.84475,0.0,0.0,557.69,0.0,799.2078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,51,571.2636875,0.0,0.0,558.088875,0.0,795.78525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52,572.7645625,0.0,0.0,558.574875,0.0,792.4089375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,574.34675,0.0,0.0,559.1478125,0.0,789.0794375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54,576.0095625,0.0,0.0,559.8074375,0.0,785.7975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,577.7523125,0.0,0.0,560.5535,0.0,782.5635625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56,579.57425,0.0,0.0,561.3855,0.0,779.378375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,57,581.474625,0.0,0.0,562.3031875,0.0,776.2424375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58,583.4526875,0.0,0.0,563.3060625,0.0,773.156375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,59,585.5076875,0.0,0.0,564.39375,0.0,770.12075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60,587.63875,0.0,0.0,565.5656875,0.0,767.13625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61,589.8450625,0.0,0.0,566.821375,0.0,764.2034375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
