,time,110,155,177,222,244,289,334,356,401,423,468,267,446,200,379,133,312,424,245,178,357,111,290,402,223,469,156,335,268,447,201,380,134,313,425,246,179,358,291,112,403,224,470,157,336,269,448,202,381,135,314,426,247,180,359,493,292,113,471,404,225,158,337,270,449,203,382,1374,1352,1419,1397,136,1330,181,1375,114,159,1353,1420,204,1398,137,1331,182,1376,115,160,1421,1354,227,205,1399,138,1332,183,1377,161,1422,1355,228,206,530,1068,1113,508,575,1046,1091,553,1069,531,1114,576,509,1092,554,1070,532,1115,577,1093,555,533,1071,1138,1116,578,1094
0,0,0.8978061676025391,0.8127734065055847,1.1852270364761353,0.9498348832130432,0.7793504595756531,0.9935001134872437,0.715838611125946,1.0834907293319702,1.0383777618408203,0.9080954194068909,0.7614008784294128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2165257930755615,0.0,0.0,0.0,0.7959875464439392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.270906686782837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4168193340301514,1.135645866394043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.8962021470069885,0.8203117251396179,1.1741697788238525,0.9568540453910828,0.7734970450401306,0.9946579337120056,0.7215593457221985,1.0761582851409912,1.048555850982666,0.9001153707504272,0.7639013528823853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2113572359085083,0.0,0.0,0.0,0.79755038022995,0.0,0.0,0.0,0.7025137543678284,0.0,0.0,0.0,0.0,0.0,1.2693445682525635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.425766110420227,1.1323633193969727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.894461989402771,0.8279327750205994,1.16317880153656,0.9638576507568359,0.7676675915718079,0.9956231117248535,0.7273198366165161,1.0687470436096191,1.0588361024856567,0.8921961188316345,0.7663299441337585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205879807472229,0.0,0.0,0.0,0.799018144607544,0.0,0.0,0.0,0.7088554501533508,0.0,0.0,0.0,0.0,0.0,1.267283320426941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4340800046920776,1.1288068294525146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.8925880789756775,0.8356372117996216,1.1522576808929443,0.9708407521247864,0.7618634700775146,0.9963937997817993,0.7331196069717407,1.0612661838531494,1.069218635559082,0.8843387365341187,0.7686845064163208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2001125812530518,0.0,0.0,0.0,0.800389289855957,0.0,0.0,0.0,0.7152684926986694,0.0,0.0,0.0,0.0,0.0,1.2647351026535034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.441627860069275,1.124986171722412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.8905829191207886,0.8434255123138428,1.1414095163345337,0.9777982234954834,0.7560859322547913,0.9969685077667236,0.7389581203460693,1.0537245273590088,1.0797027349472046,0.8765442371368408,0.7709630727767944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1940748691558838,0.0,0.0,0.0,0.8016623854637146,0.0,0.0,0.0,0.7217536568641663,0.0,0.0,0.0,0.0,0.0,1.2617148160934448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4482581615447998,1.1209120750427246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.8884491920471191,0.8512982130050659,1.1306371688842773,0.9847244620323181,0.7503361105918884,0.9973462224006653,0.7448346614837646,1.0461301803588867,1.0902882814407349,0.8688134551048279,0.7731636166572571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1877855062484741,0.0,0.0,0.0,0.8028362393379211,0.0,0.0,0.0,0.7283118367195129,0.0,0.0,0.0,0.0,0.0,1.2582393884658813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4538058042526245,1.1165950298309326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.8861895799636841,0.859255850315094,1.119943380355835,0.9916138052940369,0.7446151375770569,0.9975261688232422,0.7507486343383789,1.038491129875183,1.1009745597839355,0.8611471652984619,0.7752842307090759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1812628507614136,0.0,0.0,0.0,0.8039095997810364,0.0,0.0,0.0,0.7349438071250916,0.0,0.0,0.0,0.0,0.0,1.2543275356292725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4581037759780884,1.112046241760254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.8838070631027222,0.8672987818717957,1.109330415725708,0.998460054397583,0.738923966884613,0.9975079894065857,0.75669926404953,1.0308146476745605,1.1117610931396484,0.8535459637641907,0.7773229479789734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1745247840881348,0.0,0.0,0.0,0.8048812747001648,0.0,0.0,0.0,0.7416505217552185,0.0,0.0,0.0,0.0,0.0,1.2499992847442627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4609993696212769,1.1072767972946167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0.8813046216964722,0.8754273653030396,1.0988004207611084,1.0052568912506104,0.7332634925842285,0.9972917437553406,0.7626857757568359,1.023107886314392,1.1226470470428467,0.8460105061531067,0.7792779207229614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1675885915756226,0.0,0.0,0.0,0.80575031042099,0.0,0.0,0.0,0.7484326362609863,0.0,0.0,0.0,0.0,0.0,1.2452759742736816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.462376594543457,1.1022979021072388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
