,time,1116,1161,1183,1228,1250,1295,1340,1362,1407,1273,1206,1385,1139,1318,1251,1184,1363,1296,1408,1229,1117,1162,1341,1386,1274,1207,1364,1140,1319,1252,1185,1342,1297,1409,1230,1163,1387,1320,1275,1208,1365,1298,1141,1253,1186,1343,1410,1276,1231,1164,1388,1321,1254,1209,1366,716,738,783,1119,761,1142,739,1187,784,717,1120,1165,762,1188,1143,740,807,1166,785,718,1144,1121,763,1189,1122,741,808,1167,786,719,1145,764,1212,1190,477,1536,1514,455,500,1559,478,1537,1515,456,501,1560,479,1538,1516,457,524,1583,502,1561,480,1539,525,1562,1517,458
0,0,0.7079437971115112,0.8612479567527771,0.9565580487251282,1.2024885416030884,0.8132335543632507,1.5201478004455566,0.7399763464927673,1.151648759841919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1329634189605713,0.0,0.0,0.0,0.0,0.727409839630127,0.0,0.0,0.0,0.0,0.0,0.8832979202270508,0.931125283241272,0.8578972816467285,0.7878796458244324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4743045568466187,1.3248887062072754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.7054160833358765,0.8676049709320068,0.9483354091644287,1.2139493227005005,0.8056554794311523,1.5327895879745483,0.7466796040534973,1.1453737020492554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1278417110443115,0.0,0.0,0.0,0.0,0.73407381772995,0.0,0.0,0.0,0.0,0.0,0.8889833092689514,0.9221711158752441,0.8599523901939392,0.788901150226593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4820294380187988,1.3301854133605957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.7028365731239319,0.8739644885063171,0.9401588439941406,1.2254831790924072,0.7981647253036499,1.545013427734375,0.7534565925598145,1.1389117240905762,0.7025724053382874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1225031614303589,0.0,0.0,0.0,0.0,0.7408142685890198,0.0,0.0,0.0,0.0,0.0,0.8946322202682495,0.9133159518241882,0.8618935942649841,0.7898259162902832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4883816242218018,1.3349273204803467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.700206995010376,0.8803235292434692,0.9320305585861206,1.2370866537094116,0.7907605171203613,1.5557315349578857,0.7603081464767456,1.1322771310806274,0.7070178389549255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1169601678848267,0.0,0.0,0.0,0.0,0.7476320266723633,0.0,0.0,0.0,0.0,0.0,0.9002404808998108,0.9045591950416565,0.8637184500694275,0.7906529903411865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4930157661437988,1.3390748500823975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,0.8866787552833557,0.9239526987075806,1.248755931854248,0.7834417223930359,1.5593242645263672,0.7672348618507385,1.125483512878418,0.7114591002464294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1112256050109863,0.0,0.0,0.0,0.0,0.7545281052589417,0.0,0.0,0.0,0.0,0.0,0.9058035016059875,0.8959002494812012,0.8654247522354126,0.7913814783096313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4956074953079224,1.3425904512405396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.0,0.8930267095565796,0.9159271717071533,1.2604868412017822,0.7762075066566467,1.5513323545455933,0.7742374539375305,1.118544340133667,0.7158946990966797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.105311632156372,0.0,0.0,0.0,0.0,0.761503279209137,0.0,0.0,0.0,0.0,0.0,0.9113166928291321,0.8873384594917297,0.8670104742050171,0.7920107245445251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.495941400527954,1.3454405069351196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.0,0.8993638753890991,0.9079557657241821,1.2722747325897217,0.7690567374229431,1.5396778583526611,0.7813166379928589,1.1114720106124878,0.7203229069709778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0992302894592285,0.0,0.0,0.0,0.0,0.7685585618019104,0.0,0.0,0.0,0.0,0.0,0.9167753458023071,0.8788731694221497,0.8684736490249634,0.7925400137901306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4939879179000854,1.3475959300994873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.0,0.9056863188743591,0.9000399708747864,1.2841144800186157,0.761988639831543,1.5272138118743896,0.7884729504585266,1.1042789220809937,0.7247419357299805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0929934978485107,0.0,0.0,0.0,0.0,0.775694727897644,0.0,0.0,0.0,0.0,0.0,0.9221744537353516,0.8705036044120789,0.8698123693466187,0.7929688096046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.489914894104004,1.3490339517593384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0.0,0.9119900465011597,0.8921813368797302,1.2960000038146973,0.7550020217895508,1.514485239982605,0.795707106590271,1.0969765186309814,0.7291499972343445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866127014160156,0.0,0.0,0.0,0.0,0.7829127311706543,0.0,0.0,0.0,0.0,0.0,0.9275088906288147,0.86222904920578,0.8710249662399292,0.793296754360199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4840251207351685,1.3497387170791626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
