,time,924,946,947,968,969,991,1013,1014,1035,1036,1058,1080,1081,1102,1103,1125,1126,1147,1148,1169,1170,1192,1193,1214,1215,1237,1259,1260,1281,1282,1304,1305,1326,1327,1348,1349,1371,1372,1393,1394,1416,1438,1460,1059,1461,1238,992,1483,902,1439,1171,1104,1350,1283,1037,1417,1216,925,970,1149,1328,1082,1395,1261,1015,1194,1127,1373,1484,1306,1462,948,1060,1239,1440,993,1172,1351,1105,1284,1418,1038,1217,926,1150,971,1329,1083,1396,1262,1016,1195,1485,1128,1463,1374,1307,949,1061,1240,1441,994,1173,1352,1106,1285,1419,1039,1218,1151,927,972,1330,1397,1084,1263,1017,1486,1196,1464,1129,1375,1308,1062,950,1241,1442,995,1174,1353,1107
0,0,0.2509949505329132,0.274055153131485,0.1834537535905838,0.20446443557739258,0.36335456371307373,0.5657863616943359,0.4856038987636566,0.29339897632598877,0.26870885491371155,0.6356986165046692,1.0927283763885498,0.5395945310592651,0.3842238783836365,0.24409297108650208,0.906226396560669,1.0569210052490234,0.21010448038578033,0.433907687664032,0.47187840938568115,0.1884615570306778,1.0878846645355225,0.7694833874702454,0.2670060694217682,0.3388682007789612,0.6018485426902771,1.3163557052612305,0.6141124963760376,0.3432561159133911,0.2740495800971985,0.7968807220458984,1.1728116273880005,0.18238867819309235,0.48483288288116455,0.39837947487831116,0.21751992404460907,0.7436535954475403,0.6475823521614075,0.18390485644340515,0.33225834369659424,0.3258225619792938,0.40267568826675415,0.31331145763397217,0.17684829235076904,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1,1,0.2508246600627899,0.27289316058158875,0.18462809920310974,0.20296944677829742,0.36478742957115173,0.5653799772262573,0.4824541509151459,0.29553303122520447,0.2665656805038452,0.6401640176773071,1.0876846313476562,0.5350930690765381,0.38729310035705566,0.24203868210315704,0.9149594306945801,1.0470956563949585,0.21196062862873077,0.4304511547088623,0.4757135510444641,0.18674053251743317,1.0959064960479736,0.7628920078277588,0.2691924273967743,0.3361981213092804,0.6069107055664062,1.31571364402771,0.6088306307792664,0.34600961208343506,0.27181240916252136,0.8043668866157532,1.163488745689392,0.1841023862361908,0.48104310035705566,0.4015238583087921,0.21570241451263428,0.7482751607894897,0.6451510190963745,0.18554089963436127,0.330265074968338,0.3278990089893341,0.40374600887298584,0.31278863549232483,0.17602452635765076,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
2,2,0.2506444752216339,0.2717268168926239,0.1858028769493103,0.20147861540317535,0.3662123382091522,0.564930260181427,0.47931674122810364,0.2976779043674469,0.26443517208099365,0.6446473002433777,1.0824581384658813,0.5306369066238403,0.3903878927230835,0.2399969846010208,0.9237909317016602,1.0373458862304688,0.2138272523880005,0.42702487111091614,0.479584664106369,0.18502838909626007,1.1038650274276733,0.7563600540161133,0.27139201760292053,0.3335478901863098,0.6120235323905945,1.3144557476043701,0.6036056280136108,0.34878456592559814,0.26958921551704407,0.8119404911994934,1.1541223526000977,0.18582504987716675,0.4772855043411255,0.4046938419342041,0.21389421820640564,0.7528839707374573,0.6426824927330017,0.1871843934059143,0.32827654480934143,0.3299820125102997,0.4047998785972595,0.3122533857822418,0.1751977503299713,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
3,3,0.2504543662071228,0.2705563008785248,0.1869780719280243,0.19999191164970398,0.3676289916038513,0.5644373893737793,0.47619178891181946,0.29983365535736084,0.2623172104358673,0.6491478681564331,1.0770595073699951,0.5262255072593689,0.39350858330726624,0.23796774446964264,0.9327214956283569,1.0276738405227661,0.21570448577404022,0.42362841963768005,0.48349228501319885,0.18332503736019135,1.111750602722168,0.7498874664306641,0.27360472083091736,0.3309171795845032,0.6171875596046448,1.3125923871994019,0.5984366536140442,0.35158127546310425,0.26737943291664124,0.8196024298667908,1.1447231769561768,0.18755678832530975,0.473559707403183,0.4078896939754486,0.2120952308177948,0.7574778199195862,0.6401780843734741,0.18883536756038666,0.32629284262657166,0.3320715129375458,0.4058369994163513,0.3117057979106903,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
4,4,0.25025439262390137,0.26938068866729736,0.18815363943576813,0.1985093355178833,0.3690371811389923,0.5639016628265381,0.47307953238487244,0.30200040340423584,0.26021167635917664,0.6536650061607361,1.0714991092681885,0.5218582153320312,0.3966555595397949,0.23595081269741058,0.9417517185211182,1.0180809497833252,0.21759243309497833,0.4202613830566406,0.4874368906021118,0.18163040280342102,1.1195522546768188,0.7434742450714111,0.27583181858062744,0.32830581068992615,0.6224033236503601,1.3101389408111572,0.5933229923248291,0.35440000891685486,0.2651839256286621,0.8273536562919617,1.1353012323379517,0.18929769098758698,0.4698654115200043,0.4111118018627167,0.2103053778409958,0.7620545029640198,0.6376389861106873,0.19049391150474548,0.32431405782699585,0.33416748046875,0.40685713291168213,0.31114596128463745,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
5,5,0.2500445544719696,0.26820108294487,0.18932951986789703,0.1970309168100357,0.3704366385936737,0.5633233189582825,0.4699801504611969,0.3041781783103943,0.2581183910369873,0.658197820186615,1.0657869577407837,0.5175343751907349,0.3998291492462158,0.2339460402727127,0.950882077217102,1.0085686445236206,0.21949122846126556,0.4169233739376068,0.4914190173149109,0.17994439601898193,1.1272590160369873,0.7371202111244202,0.2780734598636627,0.32571351528167725,0.6276714205741882,1.3071143627166748,0.5882638692855835,0.35724106431007385,0.26300248503685,0.8351950645446777,1.1258656978607178,0.19104783236980438,0.4662022292613983,0.4143604338169098,0.20852456986904144,0.7666117548942566,0.635066568851471,0.19216005504131317,0.3223402500152588,0.3362698256969452,0.40786001086235046,0.3105740249156952,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
6,6,0.24982494115829468,0.26701757311820984,0.19050568342208862,0.1955566555261612,0.371827095746994,0.5627027153968811,0.4668937921524048,0.30636703968048096,0.25603726506233215,0.6627455949783325,1.0599329471588135,0.513253390789032,0.4030297100543976,0.23195330798625946,0.9601130485534668,0.9991381764411926,0.22140096127986908,0.41361403465270996,0.4954391419887543,0.17826692759990692,1.1348588466644287,0.7308252453804016,0.2803298830986023,0.323140025138855,0.6329923272132874,1.3035414218902588,0.5832583904266357,0.3601047694683075,0.2608349919319153,0.8431275486946106,1.1164246797561646,0.19280731678009033,0.46256983280181885,0.4176359474658966,0.206752747297287,0.7711472511291504,0.6324620842933655,0.19383388757705688,0.32037150859832764,0.33837851881980896,0.40884530544281006,0.3099900484085083,-99.0,0.17587096989154816,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
7,7,0.2495955228805542,0.26583027839660645,0.19168207049369812,0.19408652186393738,0.37320831418037415,0.5620401501655579,0.4638206362724304,0.308567076921463,0.25396814942359924,0.6673073768615723,1.053946852684021,0.5090147256851196,0.40625765919685364,0.2299724668264389,0.9694451093673706,0.9897906184196472,0.22332178056240082,0.41033291816711426,0.49949783086776733,0.17659792304039001,1.1423391103744507,0.7245892286300659,0.28260117769241333,0.3205851912498474,0.63836669921875,1.2994458675384521,0.5783059597015381,0.3629913926124573,0.2586812674999237,0.8511520028114319,1.106986165046692,0.19457624852657318,0.4589678645133972,0.4209386706352234,0.20498979091644287,0.7756586074829102,0.6298268437385559,0.195515438914299,0.31840789318084717,0.34049347043037415,0.4098128080368042,0.30939415097236633,-99.0,0.17752645909786224,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
8,8,0.24935637414455414,0.26463934779167175,0.19285863637924194,0.19262054562568665,0.3745800256729126,0.5613359212875366,0.46076083183288574,0.31077831983566284,0.25191226601600647,0.6718822717666626,1.0478380918502808,0.5048176646232605,0.40951332449913025,0.2280033826828003,0.9788786172866821,0.9805269837379456,0.22525379061698914,0.40707969665527344,0.5035955905914307,0.17493729293346405,1.1496868133544922,0.7184118032455444,0.2848875820636749,0.31804871559143066,0.6437949538230896,1.2948552370071411,0.5734056830406189,0.36590126156806946,0.25654110312461853,0.8592693209648132,1.0975570678710938,0.1963547319173813,0.45539599657058716,0.4242689609527588,0.2032356560230255,0.7801432609558105,0.6271620392799377,0.1972048133611679,0.31644949316978455,0.34261462092399597,0.4107621908187866,0.3087864816188812,-99.0,0.17919017374515533,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
9,9,0.24910752475261688,0.2634449005126953,0.1940353363752365,0.1911587119102478,0.3759419322013855,0.5605905055999756,0.4577144682407379,0.3130008578300476,0.249869242310524,0.6764693260192871,1.0416159629821777,0.5006617307662964,0.41279712319374084,0.22604592144489288,0.9884138703346252,0.971347987651825,0.22719712555408478,0.40385398268699646,0.5077330470085144,-99.0,1.1568877696990967,0.7122928500175476,0.287189245223999,0.315530389547348,0.6492777466773987,1.2897989749908447,0.5685568451881409,0.3688347041606903,0.2544144093990326,0.8674802780151367,1.0881439447402954,0.1981428563594818,0.4518539011478424,0.4276271164417267,0.20149023830890656,0.7845986485481262,0.624468982219696,0.19890204071998596,0.31449633836746216,0.3447418510913849,0.4116932451725006,0.30816712975502014,-99.0,0.1808622032403946,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
