,time,2,1063,1085,1107,1108,1129,1130,1152,1174,1175,1196,1197,1219,1220,1241,1242,1263,1264,1286,1287,1308,1309,1331,1353,1354,1375,1376,1398,1420,1421,1442,1443,1465,1466,1487,1488,1509,1510,1532,1533,1554,1555,1577,1399,1153,1332,1265,1511,1444,1086,3,25,1198,1377,1131,1578,1310,1489,1243,1422,1176,1556,1355,1064,1109,1288,1467,1221,1534,1400,1154,1333,26,1266,4,1512,1445,1087,1199,1378,1579,1132,1311,1490,1244,1423,1557,1177,1356,1065,1289,1110,1468,1535,1222,1401,1155,27,1334,5,1267,1513,1446,1200,1088,1379,1580,1133,1312,1491,1245,1424,1558,1178,1357,1290,1111,1469,1536,1066,1223,1402,28,1156,1335,6,1268,1514,1447
0,0,2.1406867504119873,4.277406215667725,3.8056960105895996,3.194652795791626,4.68993616104126,2.701760768890381,4.366495132446289,3.5323753356933594,2.5517804622650146,4.849274158477783,2.16070294380188,4.633081912994385,2.469240665435791,4.988596439361572,1.863043189048767,4.980047702789307,1.7341182231903076,5.157649517059326,1.3628931045532227,4.94440221786499,1.4815959930419922,4.998935222625732,5.765950679779053,1.210883617401123,4.780908107757568,1.325596570968628,4.809085845947266,0.6759079694747925,1.3023014068603516,4.434444904327393,1.3044564723968506,4.104080677032471,1.918000340461731,4.157491683959961,1.5004245042800903,3.8472025394439697,1.3726872205734253,3.091454029083252,2.1205737590789795,3.657510995864868,1.6894640922546387,3.231698989868164,2.6540822982788086,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1,1,2.1360676288604736,4.273134231567383,3.8000504970550537,3.190065383911133,4.686922550201416,2.6995837688446045,4.360433578491211,3.5208733081817627,2.548030376434326,4.847239017486572,2.159963846206665,4.626748085021973,2.4544551372528076,4.98828649520874,1.8630876541137695,4.979937553405762,1.7344287633895874,5.16259765625,1.3688493967056274,4.944859981536865,1.4827039241790771,5.000778675079346,5.793889045715332,1.2141315937042236,4.781718730926514,1.3262124061584473,4.811863899230957,0.7088820934295654,1.30220365524292,4.434548854827881,1.3040776252746582,4.100035190582275,1.90463387966156,4.156970977783203,1.4976156949996948,3.844771146774292,1.371215581893921,3.082059383392334,2.112936019897461,3.655801296234131,1.6857876777648926,3.227959632873535,2.648660182952881,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
2,2,2.1314566135406494,4.268851280212402,3.7944114208221436,3.185509443283081,4.683888912200928,2.6974239349365234,4.354322910308838,3.5094211101531982,2.5443341732025146,4.845181465148926,2.1592319011688232,4.62026834487915,2.440396785736084,4.987973690032959,1.8631322383880615,4.979825496673584,1.7347371578216553,5.167757987976074,1.3746215105056763,4.945321083068848,1.4837989807128906,5.002651691436768,5.822685241699219,1.2173125743865967,4.78253698348999,1.3268224000930786,4.81470251083374,0.739221453666687,1.302108645439148,4.4346537590026855,1.3037028312683105,4.095857620239258,1.8916352987289429,4.156445503234863,1.494842290878296,3.84230899810791,1.3697553873062134,3.0725667476654053,2.1053473949432373,3.654078960418701,1.6821365356445312,3.2241930961608887,2.6432223320007324,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
3,3,2.1268537044525146,4.264556884765625,3.7887790203094482,3.1809844970703125,4.680834770202637,2.6952810287475586,4.34816312789917,3.4980216026306152,2.5406911373138428,4.8431010246276855,2.1585073471069336,4.613637924194336,2.427018642425537,4.98765754699707,1.863176941871643,4.979711055755615,1.7350434064865112,5.173145294189453,1.3802176713943481,4.9457855224609375,1.4848814010620117,5.004554748535156,5.852330207824707,1.220428466796875,4.7833638191223145,1.327426791191101,4.8176045417785645,0.767180860042572,1.302016258239746,4.434759140014648,1.303331971168518,4.091541290283203,1.8789936304092407,4.155915260314941,1.4921035766601562,3.8398149013519287,1.3683066368103027,3.062976360321045,2.097808361053467,3.65234375,1.6785106658935547,3.2203989028930664,2.6377692222595215,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
4,4,2.1222589015960693,4.260251045227051,3.783153772354126,3.176490545272827,4.677760124206543,2.693154811859131,4.341953754425049,3.486677408218384,2.537100076675415,4.840997219085693,2.157790184020996,4.606852054595947,2.4142773151397705,4.987338542938232,1.8632218837738037,4.979593753814697,1.7353475093841553,5.178773403167725,1.3856455087661743,4.946254253387451,1.4859514236450195,5.006488800048828,5.88280725479126,1.22348153591156,4.78419828414917,1.3280255794525146,4.820571422576904,0.7929916977882385,1.3019263744354248,4.434865474700928,1.3029649257659912,4.087080001831055,1.8666987419128418,4.155379772186279,1.4893990755081177,3.8372888565063477,1.3668690919876099,3.053288459777832,2.0903189182281494,3.6505956649780273,1.6749098300933838,3.2165770530700684,2.6323013305664062,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
5,5,2.1176724433898926,4.255934715270996,3.7775356769561768,3.172027349472046,4.674664497375488,2.6910452842712402,4.335695266723633,3.475390672683716,2.533560037612915,4.838870525360107,2.1570796966552734,4.5999064445495605,2.402132511138916,4.987016677856445,1.863266944885254,4.9794745445251465,1.7356494665145874,5.184659957885742,1.390912413597107,4.946726322174072,1.4870092868804932,5.0084547996521,5.914093971252441,1.226473331451416,4.785040855407715,1.3286187648773193,4.823605060577393,0.8168624639511108,1.3018391132354736,4.434972286224365,1.3026018142700195,4.0824666023254395,1.854739785194397,4.154839992523193,1.4867280721664429,3.8347299098968506,1.3654427528381348,3.0435032844543457,2.0828800201416016,3.648834466934204,1.6713337898254395,3.2127273082733154,2.6268184185028076,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
6,6,2.1130945682525635,4.251607418060303,3.771925449371338,3.1675946712493896,4.6715474128723145,2.6889522075653076,4.329387187957764,3.4641642570495605,2.5300700664520264,4.836719512939453,2.156376600265503,4.592796325683594,2.3905465602874756,4.986691474914551,1.8633121252059937,4.9793524742126465,1.7359493970870972,5.190821647644043,1.3960251808166504,4.947202682495117,1.4880552291870117,5.010453224182129,5.946160316467285,1.2294058799743652,4.785892486572266,1.3292065858840942,4.826708793640137,0.8389802575111389,1.301754117012024,4.435079574584961,1.3022425174713135,4.077693462371826,1.8431068658828735,4.154294967651367,1.4840900897979736,3.8321378231048584,1.3640273809432983,3.0336215496063232,2.075491428375244,3.6470601558685303,1.6677824258804321,3.2088496685028076,2.621321201324463,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
7,7,2.108525514602661,4.247269153594971,3.7663233280181885,3.1631927490234375,4.668409824371338,2.686875104904175,4.323029041290283,3.45300030708313,2.5266292095184326,4.8345441818237305,2.1556801795959473,4.58551549911499,2.3794848918914795,4.986362934112549,1.8633575439453125,4.979227542877197,1.736247181892395,5.197279453277588,1.40099036693573,4.9476823806762695,1.4890893697738647,5.012485504150391,5.978967666625977,1.2322808504104614,4.786752223968506,1.3297890424728394,4.829884052276611,0.8595126271247864,1.3016716241836548,4.435187816619873,1.3018869161605835,4.072751998901367,1.8317897319793701,4.153744697570801,1.4814845323562622,3.8295114040374756,1.362622857093811,3.023643732070923,2.0681536197662354,3.6452724933624268,1.6642556190490723,3.2049434185028076,2.615809440612793,4.553186893463135,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
8,8,2.1039650440216064,4.242920398712158,3.7607295513153076,3.1588213443756104,4.665250778198242,2.684814214706421,4.316621780395508,3.4419009685516357,2.5232362747192383,4.8323445320129395,2.1549904346466064,4.578059196472168,2.3689157962799072,4.986031532287598,1.863403081893921,4.979100227355957,1.73654305934906,5.2040534019470215,1.4058140516281128,4.948166370391846,1.4901119470596313,5.014551639556885,6.0124688148498535,1.2350999116897583,4.787620544433594,1.3303663730621338,4.833134174346924,0.8786090612411499,1.301591396331787,4.435296535491943,1.3015350103378296,4.067633628845215,1.820778727531433,4.153189659118652,1.4789109230041504,3.826850652694702,1.3612290620803833,3.013570547103882,2.0608668327331543,3.6434712409973145,1.6607532501220703,3.2010087966918945,2.6102840900421143,4.553469181060791,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
