,time,453,475,497,498,520,542,543,564,565,587,588,609,610,631,632,654,655,676,677,699,721,722,744,766,788,789,811,833,834,856,878,879,900,901,923,924,945,946,967,968,969,990,991,1013,1035,1036,1057,1058,1080,476,902,767,521,1014,700,947,812,633,566,857,745,1081,880,992,499,678,1103,611,1059,925,454,790,544,835,723,970,1037,656,858,589,477,903,768,522,1015,701,948,634,813,567,836,1104,1082,746,993,881,500,679,612,1060,926,791,545,724,814,1038,971,657,590,859,478,769,904,523,1016,702,635,949,792,1105,568,1083,837,747,994,882,680,501,1061,613,927,770,546,725,1039,815,972,658,591,860,748,905,524,479,1017,703,1106,636,950
0,0,1693.93425,1524.204,1679.7855,1264.172875,854.7535625,956.97425,1376.007125,1478.249375,772.336,597.290625,1822.6975,1098.96675,1224.979875,1778.671375,858.6256875,1033.4328125,1737.68675,1584.084125,1286.6715,1177.365,1493.471875,1666.8215,1363.091,1432.4715,1833.551125,1517.21775,1351.39175,1570.831125,1639.00425,1247.9165,1242.5755,1769.968125,1622.7935,1183.6085,883.920625,1281.07625,1123.99425,702.2141875,1678.4005,665.526625,1626.406375,1209.486,1034.1788125,764.81875,1079.699375,1707.63825,1663.541625,1452.187375,1535.843625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1694.299,1527.347625,1685.19075,1260.96275,855.19,962.1148125,1369.964,1484.69825,767.59175,599.19425,1816.11425,1104.4185,1219.119625,1784.775,856.07875,1036.2194375,1731.843125,1589.104875,1282.753,1177.51125,1497.088,1662.31525,1361.455625,1434.62525,0.0,1514.2655,1352.015125,1574.735,1634.879,1246.70475,1245.568125,1764.74475,1628.25375,1180.106125,885.0054375,1275.480875,1129.310875,699.00025,1684.87,669.413625,1619.889,1215.517625,1028.4345,763.1036875,1082.65025,1701.789,1668.048875,1448.3115,1534.9515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1694.692375,1530.5165,1690.60725,1257.78325,855.6835625,967.2785,1363.929625,1491.15125,762.881875,601.172875,1809.533,1109.886875,1213.270625,1790.884125,853.580625,1039.0445625,1726.006875,1594.139375,1278.859625,1177.697875,1500.726625,1657.82475,1359.853,1436.808375,0.0,1511.338375,1352.673,1578.65875,1630.771875,1245.529875,1248.5915,1759.53225,1633.7245,1176.63375,886.143125,1269.898625,1134.644875,695.84125,1691.342625,673.3505625,1613.374875,1221.559,1022.7055625,761.4491875,1085.638125,1695.947875,1672.572875,1444.458875,1534.0905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,1695.114125,1533.710375,1696.034625,1254.63475,856.23425,972.4649375,1357.903875,1497.6085,758.2071875,603.2258125,1802.953875,1115.3715,1207.432875,1796.9985,851.13175,1041.908,1720.178,1599.187375,1274.9915,1177.9245,1504.3875,1653.350375,1358.283,1439.020625,0.0,1508.4365,1353.365125,1582.60225,1626.683,1244.391875,1251.6455,1754.330875,1639.205625,1173.191625,887.3335625,1264.3295,1139.996,692.738,1697.818375,677.3366875,1606.863875,1227.610125,1016.992125,759.8556875,1088.662875,1690.11475,1677.1135,1440.629625,1533.26075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,1695.564375,1536.92925,1701.472875,1251.51725,856.8418125,977.67375,1351.887,1504.069875,753.56825,605.352375,1796.376875,1120.87225,1201.60675,1803.118125,848.732625,1044.8094375,1714.3565,1604.24875,1271.148875,1178.1915,1508.07075,1648.891875,1356.74575,1441.262125,0.0,1505.56,1354.09175,1586.565375,1622.612625,1243.29075,1254.72975,1749.140625,1644.696875,1169.78025,888.5765625,1258.77375,1145.363875,689.6911875,1704.29725,681.3710625,1600.356125,1233.670875,1011.2945,758.3235,1091.724,1684.29,1681.6705,1436.823875,1532.462125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,1696.043,1540.17275,1706.922,1248.431,857.5061875,982.9045625,1345.87925,1510.53525,748.96575,607.5516875,1789.802125,1126.388875,1195.792375,1809.243,846.3836875,1047.7485,1708.542625,1609.323375,1267.332,1178.498625,1511.775875,1644.44975,1355.2415,1443.532625,0.0,1502.709125,1354.8525,1590.547875,1618.560875,1242.22675,1257.844125,1743.96175,1650.198125,1166.399625,889.87175,1253.2315,1150.748375,686.7016875,1710.77925,685.4528125,1593.85175,1239.741,1005.613,756.8530625,1094.821375,1678.473625,1686.243875,1433.041875,1531.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,1696.55,1543.440875,1712.381625,1245.376375,858.22725,988.157,1339.8805,1517.004625,744.4003125,609.8230625,1783.2295,1131.921125,1189.98975,1815.373125,844.08525,1050.724875,1702.736375,1614.411125,1263.541,1178.845875,1515.503,1640.024,1353.770375,1445.831875,0.0,1499.884,1355.647625,1594.54975,1614.52775,1241.2,1260.988375,1738.794125,1655.7095,1163.050125,891.2190625,1247.703125,1156.14925,683.7701875,1717.264125,689.581125,1587.35075,1245.82025,999.9478125,755.44475,1097.9545,1672.6655,1690.833375,1429.283875,1530.959125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,1697.085375,1546.733375,1717.851875,1242.353625,859.0048125,993.4308125,1333.891125,1523.478,739.87275,612.1655625,1776.659,1137.468625,1184.19925,1821.50825,841.83775,1053.73825,1696.93775,1619.511875,1259.776375,1179.23325,1519.25175,1635.61475,1352.33225,1448.15975,0.0,1497.084875,1356.476875,1598.57075,1610.5135,1240.2105,1264.162125,1733.638125,1661.23075,1159.732125,892.6181875,1242.1885,1161.566375,680.8974375,1723.752125,693.755125,1580.853125,1251.90875,994.2993125,754.0989375,1101.123125,1666.866,1695.439,1425.550125,1530.254625,1831.5025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,1697.649,1550.050125,1723.332625,1239.362875,859.83875,998.7255625,1327.911,1529.95525,735.3836875,614.5785,1770.090875,1143.031375,1178.421,1827.648375,839.6416875,1056.788375,1691.147,1624.6255,1256.038125,1179.660625,1523.022,1631.222125,1350.9275,1450.51625,0.0,1494.311625,1357.340125,1602.61075,1606.51825,1239.258375,1267.365375,1728.493625,1666.76175,1156.44575,894.068875,1236.688125,1166.99925,678.0841875,1730.243,697.9740625,1574.359,1258.006125,988.66775,752.8158125,1104.327125,1661.075125,1700.060375,1421.840625,1529.581625,1827.16175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,1698.241,1553.391,1728.82375,1236.404375,860.7289375,1004.0409375,1321.9405,1536.436375,730.933875,617.061,1763.525,1148.609,1172.65525,0.0,837.4974375,1059.87475,1685.364125,1629.751875,1252.3265,1180.128125,1526.813625,1626.84625,1349.556125,1452.901125,0.0,1491.564625,1358.2375,1606.669625,1602.542125,1238.343625,1270.59775,1723.360875,1672.3025,1153.191375,895.570875,1231.201875,1172.447875,675.3311875,1736.73675,702.2370625,1567.868375,1264.11225,983.0534375,751.595875,1107.565875,1655.293,1704.697625,1418.155625,1528.940125,1822.837125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1698.861375,1556.755875,1734.325,1233.4785,861.6751875,1009.3765625,1315.979625,1542.921125,726.524,619.6121875,1756.9615,1154.201375,1166.902,0.0,835.4053125,1062.99725,1679.589125,1634.89075,1248.641875,1180.635625,1530.6265,1622.48725,1348.218125,1455.314375,0.0,1488.844,1359.168875,1610.747125,1598.585375,1237.4665,1273.859125,1718.24,1677.85275,1149.969125,897.123875,1225.73025,1177.911875,672.6391875,1743.233375,706.543375,1561.38125,1270.22725,977.456625,750.4393125,1110.83925,1649.519625,1709.3505,1414.495375,1528.330125,1818.528625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,1699.509875,1560.144375,1739.836375,1230.58525,862.67725,1014.7321875,1310.0285,1549.40975,722.1548125,622.23125,1750.400375,1159.808125,1161.161625,0.0,833.365875,1066.1555,1673.82225,1640.04225,1244.9845,1181.183,1534.460375,1618.145375,1346.91375,1457.755625,0.0,1486.14975,1360.134125,1614.84325,1594.648125,1236.627,1277.149125,1713.131,1683.412625,1146.7795,898.72775,1220.273375,1183.391125,670.0089375,1749.73275,710.892125,1554.89775,1276.35075,971.8776875,749.3465,1114.146875,1643.755125,1714.018875,1410.86,1527.75175,1814.2365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,1700.186625,1563.556625,1745.357875,1227.725,863.7349375,1020.1075,1304.087375,1555.901875,717.8270625,624.917375,1743.841625,1165.42925,1155.43425,0.0,831.3793125,1069.349125,1668.0635,1645.206,1241.3545,1181.77025,1538.315125,1613.82075,1345.643125,1460.224875,0.0,1483.48225,1361.13325,1618.957875,1590.730375,1235.825125,1280.46775,1708.034125,1688.98175,1143.622625,900.382125,1214.831375,1188.885375,667.441125,1756.235,715.282625,1548.417875,1282.482625,966.3169375,748.3176875,1117.488625,1637.99975,1718.702625,1407.249875,1527.204875,1809.960625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,1700.8915,1566.99225,1750.88925,1224.898,864.848125,1025.502125,1298.156375,1562.39775,713.5415,627.6695625,1737.28525,1171.06425,1149.720125,0.0,829.4461875,1072.577875,1662.313,1650.382125,1237.752125,1182.39725,1542.190625,1609.513375,1344.406125,1462.722,0.0,1480.841375,1362.166,1623.090625,1586.832375,1235.061,1283.8145,1702.949375,1694.560125,1140.49875,902.08675,1209.4045,1194.3945,664.9365,1762.739875,719.7140625,1541.941875,1288.622875,960.7746875,747.3530625,1120.863875,1632.253375,1723.401625,1403.665,1526.68975,1805.701375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,1701.6245,1570.45125,1756.4305,1222.1045,866.0165625,1030.91575,1292.2355,1568.897125,709.2989375,630.487125,1730.731375,1176.71325,1144.0195,0.0,827.5668125,1075.84125,1656.570875,1655.57025,1234.17775,1183.064,1546.08675,1605.223625,1343.203125,1465.24675,0.0,1478.2275,1363.2325,1627.241625,1582.95425,1234.33475,1287.189375,1697.876875,1700.14775,1137.40825,903.8413125,1203.992875,1199.918125,662.4958125,1769.2475,724.185625,1535.4695,1294.77125,955.25125,746.453,1124.272625,1626.51625,1728.115625,1400.10575,1526.20625,1801.45875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
