,time,410,432,477,522,544,589,611,656,678,455,634,701,567,500,433,679,612,545,478,657,590,411,523,456,635,702,568,501,434,680,613,546,479,658,591,412,524,725,457,636,703,569,502,681,435,614,547,480,659,592,704,525,413,458,637,682,570,32,10,77,55,1563,436,33,503,481,414,78,11,459,56,437,504,1564,34,482,79,415,12,460,57,505,438,35,102,483,80,13,416,461
0,0,3.9240410327911377,2.5627377033233643,3.7688145637512207,4.7856268882751465,1.5449907779693604,4.55912446975708,1.6304757595062256,3.6439003944396973,1.8917529582977295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35006603598594666,0.0,0.0,3.1219189167022705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7319291830062866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3.9111552238464355,0.0,3.7239625453948975,4.785271167755127,1.5486106872558594,4.558431625366211,1.6249066591262817,3.630016565322876,1.8835006952285767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3623715341091156,0.0,0.0,3.1092519760131836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8363994359970093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3.8981621265411377,0.0,3.6776790618896484,4.784904956817627,1.551832914352417,4.557712078094482,1.6195876598358154,3.6157097816467285,1.8754054307937622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37424948811531067,0.0,0.0,3.096306800842285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9368290901184082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3.8850655555725098,0.0,3.63010311126709,4.784528732299805,1.5547202825546265,4.556963920593262,1.6145025491714478,3.6009669303894043,1.8674638271331787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38571879267692566,0.0,0.0,3.0830788612365723,0.0,0.0,0.0,0.0,4.955833911895752,0.0,0.0,0.0,0.0,1.031574010848999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,3.871868371963501,0.0,3.5814037322998047,4.7841410636901855,1.5573234558105469,4.556186199188232,1.609636664390564,3.5857746601104736,1.8596724271774292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39679744839668274,0.0,0.0,3.0695641040802,0.0,0.0,0.0,0.0,4.964245319366455,0.0,0.0,0.0,0.0,1.1195666790008545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,3.858574151992798,0.0,3.5317797660827637,4.783742427825928,1.559683084487915,4.55537748336792,1.6049765348434448,3.5701193809509277,1.852028250694275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.407502681016922,0.0,0.0,3.055757522583008,0.0,0.0,0.0,0.0,4.972793102264404,0.0,0.0,0.0,0.0,1.2002958059310913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,3.845186948776245,0.0,3.4814558029174805,4.783331871032715,1.5618325471878052,4.554534912109375,1.600509762763977,3.553987979888916,1.8445278406143188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4178507924079895,0.0,0.0,3.0416555404663086,0.0,0.0,0.0,0.0,4.981479167938232,0.0,0.0,0.0,0.0,1.2737048864364624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,3.83171010017395,0.0,3.4306766986846924,4.782908916473389,1.5637993812561035,4.553657054901123,1.5962247848510742,3.537367105484009,1.8371680974960327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4278574585914612,0.0,0.0,3.027254343032837,0.0,0.0,0.0,0.0,4.9903059005737305,0.0,0.0,0.0,0.0,1.340060830116272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,3.818148136138916,0.0,3.3797011375427246,4.782473087310791,1.5656064748764038,4.552742004394531,1.5921109914779663,3.5202441215515137,1.8299459218978882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375374913215637,0.0,0.0,3.0125503540039062,0.0,0.0,0.0,0.0,4.999275207519531,0.0,0.0,0.0,0.0,1.3998308181762695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,3.8045051097869873,0.0,3.32879376411438,4.782023906707764,1.5672730207443237,4.55178689956665,1.5881587266921997,3.5026063919067383,1.8228583335876465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4469050467014313,0.0,0.0,2.9975404739379883,0.0,0.0,0.0,0.0,5.008389472961426,0.0,0.0,0.0,0.0,1.453582525253296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,3.790785551071167,0.0,3.278217315673828,4.781560897827148,1.5688154697418213,4.550790309906006,1.5843586921691895,3.4844417572021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4559735655784607,0.0,0.0,2.982222557067871,0.0,0.0,0.0,0.0,5.017650604248047,0.0,0.0,0.0,0.0,1.501915693283081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,3.776994228363037,0.0,3.228224277496338,4.781083583831787,1.5702475309371948,4.549748420715332,1.5807026624679565,3.4657394886016846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4647558629512787,0.0,0.0,2.9665939807891846,0.0,0.0,0.0,0.0,5.027060508728027,0.0,0.0,0.0,0.0,1.545417070388794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,3.7631354331970215,0.0,3.1790497303009033,4.7805914878845215,1.5715810060501099,4.548658847808838,1.5771827697753906,3.446488857269287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47326406836509705,0.0,0.0,2.950653553009033,0.0,0.0,0.0,0.0,5.03662109375,0.0,0.0,0.0,0.0,1.584635853767395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,3.7492144107818604,0.0,3.1309053897857666,4.780083179473877,1.5728263854980469,4.547518253326416,1.573791742324829,3.426680326461792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4815097749233246,0.0,0.0,2.9343998432159424,0.0,0.0,0.0,0.0,5.046334743499756,0.0,0.0,0.0,0.0,1.6200714111328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,3.7352359294891357,0.0,3.083975315093994,4.7795586585998535,1.5739922523498535,4.546323299407959,1.570522665977478,3.406306028366089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48950397968292236,0.0,0.0,2.917832851409912,0.0,0.0,0.0,0.0,5.0562028884887695,0.0,0.0,0.0,0.0,1.6521697044372559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,3.721205472946167,0.0,3.0384132862091064,4.779017448425293,1.5750864744186401,4.545070171356201,1.5673695802688599,3.3853588104248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49725714325904846,0.0,0.0,2.9009523391723633,0.0,0.0,0.0,0.0,5.066227436065674,0.0,0.0,0.0,0.0,1.6813243627548218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,3.7071282863616943,0.0,2.9943413734436035,4.778458118438721,1.576115608215332,4.543755054473877,1.5643261671066284,3.3638339042663574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5047792792320251,0.0,0.0,2.8837597370147705,0.0,0.0,0.0,0.0,5.07641077041626,0.0,0.0,0.0,0.0,1.707879900932312,5.052478313446045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,3.693009614944458,0.0,2.9518508911132812,4.7778801918029785,1.5770858526229858,4.542372703552246,1.561387300491333,3.3417277336120605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5120797157287598,0.0,0.0,2.8662567138671875,0.0,0.0,0.0,0.0,5.0867533683776855,0.0,0.0,0.0,0.0,1.7321370840072632,5.048295497894287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,3.6788551807403564,0.0,2.911003351211548,4.77728271484375,1.5780023336410522,4.540918350219727,1.5585477352142334,3.3190391063690186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5191676020622253,0.0,0.0,2.8484458923339844,0.0,0.0,0.0,0.0,5.097257614135742,0.0,0.0,0.0,0.0,1.7543573379516602,5.044018745422363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,3.664670467376709,0.0,2.8718347549438477,4.776664733886719,1.5788695812225342,4.539386749267578,1.5558024644851685,3.295769453048706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52605140209198,0.0,0.0,2.8303303718566895,0.0,0.0,0.0,0.0,5.107924938201904,0.0,0.0,0.0,0.0,1.7747682332992554,5.039645195007324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
