,time,812,834,856,857,878,879,901,902,923,924,946,1418,1440,1441,1462,1463,1485,1486,1507,1508,1529,1530,1552,1574,1575,1553,0,880,835,1531,947,858,1464,925,1509,1419,903,1576,836,1,813,1554,1442,1487,881,948,970,1532,814,859,926,1465,1510,2,904,1420,1577,837,792,1555,1488,882,1443,971,949,1533,815,860,927,1466,3,1511,905,1578,838,1421,1556,972,883,793,1489,1444,950,1534
0,0,4.597189903259277,4.131957054138184,3.1117944717407227,-99.0,2.474461555480957,5.496950149536133,1.1029975414276123,6.100856304168701,1.6265219449996948,0.44159573316574097,0.9698941707611084,-99.0,6.071056365966797,-99.0,0.2888723909854889,-99.0,5.984978199005127,-99.0,0.7389382123947144,-99.0,0.9398818016052246,2.8364782333374023,1.8070727586746216,1.509722113609314,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1,1,4.592938423156738,4.1240668296813965,3.106736421585083,-99.0,2.4745442867279053,5.495430946350098,1.1215275526046753,6.10372257232666,1.6310679912567139,0.44723618030548096,0.9744095206260681,-99.0,6.075538635253906,-99.0,0.2908421754837036,-99.0,5.99845552444458,-99.0,0.7383405566215515,-99.0,0.9385591745376587,2.825897216796875,1.8001295328140259,1.5062596797943115,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
2,2,4.588669776916504,4.116175651550293,3.1017534732818604,-99.0,2.474626064300537,5.493875503540039,1.1398911476135254,6.106614112854004,1.6355743408203125,0.4528989791870117,0.9789162874221802,5.534239292144775,6.079995632171631,-99.0,0.2927972376346588,-99.0,6.011693954467773,-99.0,0.7377523183822632,-99.0,0.9372471570968628,2.815150499343872,1.7932223081588745,1.5028140544891357,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
3,3,4.584384918212891,4.108284950256348,3.096844434738159,-99.0,2.4747073650360107,5.492281913757324,1.1580784320831299,6.109530925750732,1.6400413513183594,0.4585839509963989,0.9834142923355103,5.538959980010986,6.084427356719971,-99.0,0.2947377562522888,-99.0,6.02469539642334,-99.0,0.7371732592582703,-99.0,0.9359456300735474,2.80423641204834,1.7863517999649048,1.4993849992752075,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
4,4,4.58008337020874,4.100395679473877,3.092007875442505,-99.0,2.474787950515747,5.490649700164795,1.1760801076889038,6.112473964691162,1.6444692611694336,0.46429088711738586,0.9879034161567688,5.543680667877197,6.088834285736084,-99.0,0.2966638505458832,-99.0,6.0374627113342285,-99.0,0.7366032600402832,-99.0,0.9346544146537781,2.793154001235962,1.7795180082321167,1.4959725141525269,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
5,5,4.575765132904053,4.092508792877197,3.0872421264648438,-99.0,2.474868059158325,5.48897647857666,1.1938875913619995,6.115443229675293,1.6488584280014038,0.47001951932907104,0.9923835396766663,5.54840087890625,6.0932159423828125,-99.0,0.2985756993293762,-99.0,6.049997329711914,-99.0,0.7360420227050781,-99.0,0.9333734512329102,2.7819018363952637,1.772721529006958,1.4925765991210938,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
6,6,4.571430206298828,4.084625244140625,3.0825462341308594,-99.0,2.474947214126587,5.487260818481445,1.2114931344985962,6.118438720703125,1.6532093286514282,0.47576966881752014,0.9968544840812683,5.553120136260986,6.0975728034973145,-99.0,0.3004734516143799,-99.0,6.062302112579346,-99.0,0.7354894876480103,-99.0,0.932102620601654,2.7704789638519287,1.7659626007080078,1.4891971349716187,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
7,7,4.567079067230225,4.076745986938477,3.077918529510498,-99.0,2.4750258922576904,5.485501766204834,1.2288893461227417,6.121460914611816,1.657522201538086,0.4815410375595093,1.0013161897659302,5.5578389167785645,6.10190486907959,-99.0,0.3023572564125061,-99.0,6.0743794441223145,-99.0,0.7349452972412109,-99.0,0.9308417439460754,2.7588844299316406,1.7592414617538452,1.4858341217041016,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
8,8,4.562711715698242,4.06887149810791,3.0733580589294434,-99.0,2.4751040935516357,5.483697414398193,1.2460699081420898,6.124510288238525,1.6617974042892456,0.48733341693878174,1.0057682991027832,5.562556266784668,6.106212139129639,-99.0,0.30422723293304443,-99.0,6.086233139038086,-99.0,0.7344093918800354,-99.0,0.9295908212661743,2.747117757797241,1.7525583505630493,1.482487440109253,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
