,time,1058,1103,1125,1170,1192,1237,1282,1304,1349,1036,1215,1148,1327,1081,1260,1193,1014,1126,1305,1059,1372,1238,1171,1104,1350,1283,1037,1216,1149,1328,1082,1261,1194,1127,1306,1373,1060,1239,1172,1351,1105,1284,1217,1038,1150,1329,1083,1262,1195,1128,1307,1374,1061,1240,1173,1352,1106,1285,1218,1039,1151,1330,1084,635,680,702,658,725,703,1129,681,1062,1107,704,1152,659,1085,682,1130,660,1108,705,1153,638,1086,683,1131,661,1109,728,706,1154
0,0,3.1756467819213867,5.076275825500488,1.3176106214523315,5.5507402420043945,1.1001746654510498,6.080638408660889,4.51429557800293,1.6049935817718506,3.4524805545806885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8737283945083618,0.0,0.0,5.643956661224365,0.0,0.0,0.0,4.118566513061523,0.0,0.0,0.0,0.0,0.0,0.0,3.865182638168335,5.440968036651611,1.1516685485839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3.1471588611602783,5.077525615692139,1.3286024332046509,5.565765857696533,1.1061547994613647,6.117258548736572,4.515597820281982,1.5916614532470703,3.442970037460327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8530269861221313,0.0,0.0,5.656944274902344,0.0,0.0,0.0,4.119902610778809,0.0,0.0,0.0,0.0,0.0,0.0,3.8523600101470947,5.44153356552124,1.1688750982284546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3.1193859577178955,5.078813076019287,1.3391327857971191,5.581257343292236,1.1119991540908813,6.153935432434082,4.516934871673584,1.579170823097229,3.433269500732422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8328278064727783,0.0,0.0,5.669950485229492,0.0,0.0,0.0,4.121273040771484,0.0,0.0,0.0,0.0,0.0,0.0,3.8395681381225586,5.442113876342773,1.185738205909729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3.0923428535461426,5.080141067504883,1.3492282629013062,5.59722900390625,1.117712140083313,6.190570831298828,4.518308162689209,1.567448377609253,3.423375129699707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8131287097930908,0.0,0.0,5.682971954345703,0.0,0.0,0.0,4.122679233551025,0.0,0.0,0.0,0.0,0.0,0.0,3.8268110752105713,5.442708492279053,1.2022590637207031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,3.066039562225342,5.081511497497559,1.3589134216308594,5.6136956214904785,1.1232978105545044,6.227067947387695,4.519719123840332,1.5564287900924683,3.413283109664917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7939262390136719,0.0,0.0,5.6960039138793945,0.0,0.0,0.0,4.124122619628906,0.0,0.0,0.0,0.0,0.0,0.0,3.8140923976898193,5.443318843841553,1.2184391021728516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,3.0404810905456543,5.0829267501831055,1.368211269378662,5.63067102432251,1.1287599802017212,6.263331413269043,4.521169185638428,1.546053171157837,3.402989625930786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7752156257629395,0.0,0.0,5.709042072296143,0.0,0.0,0.0,4.12560510635376,0.0,0.0,0.0,0.0,0.0,0.0,3.8014166355133057,5.443945407867432,1.2342809438705444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,3.0156683921813965,5.084388256072998,1.3771432638168335,5.64816951751709,1.1341025829315186,0.016084108501672745,4.522660732269287,1.5362693071365356,3.392490863800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.756990909576416,0.0,0.0,5.722082138061523,0.0,0.0,0.0,4.127127647399902,0.0,0.0,0.0,0.0,0.0,0.0,3.788787364959717,5.444588661193848,1.2497873306274414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,2.9915990829467773,5.085899353027344,1.385729432106018,5.66620397567749,1.139329195022583,0.051610637456178665,4.524195194244385,1.5270297527313232,3.3817827701568604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.739245057106018,0.0,0.0,5.735119342803955,0.0,0.0,0.0,4.128692626953125,0.0,0.0,0.0,0.0,0.0,0.0,3.7762081623077393,5.445249557495117,1.264961838722229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,2.968266725540161,5.087462425231934,1.3939884901046753,5.684787750244141,1.144443392753601,0.08664518594741821,4.5257744789123535,1.5182921886444092,3.3708620071411133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7219704389572144,0.0,0.0,5.748149871826172,0.0,0.0,0.0,4.1303019523620605,0.0,0.0,0.0,0.0,0.0,0.0,3.7636830806732178,5.445928573608398,1.2798082828521729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
