,time,352,374,419,464,486,531,553,598,620,397,576,330,509,643,442,375,621,554,487,420,308,599,353,532,465,398,577,644,331,510,443,376,622,555,488,421,600,354,533,466,399,578,645,511,332,444,377,623,556,489,422,601,355,534,467,668,400,579,646,512,333,310,1549,1571,41,19,1527,1572,378,311,356,1550,42,20,401,334,1528,379,1573,312,43,357,1551,21,402,335,1529,380,1574,44,313,22,358,1552,425,0,403,727,749,1310,1332,772,1288,705,750,1333,1311,728,773,1289,1356,751,1334,1312,729,774,1357,1290,752,1335,1313,730,775,1358,682,660,638,683,661,639,684,662,640,685,1336,663,1314,178,200,245,1282,1304,223,1327,1260,201,1305,246,1283,179,224,1328,1261,202,1306,247,1284,180,225,1329,203,1307,248,1285,226,1352,1330
0,0,0.9930827021598816,0.849066436290741,1.3943074941635132,0.7061480283737183,1.25199556350708,0.9336903095245361,1.0376367568969727,1.0227885246276855,0.7146143913269043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0878244638442993,0.0,0.0,0.0,0.0,0.0,0.773537278175354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8685277700424194,0.7488666772842407,1.2110062837600708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8142659664154053,1.0376596450805664,0.8442304730415344,0.9083465337753296,0.0,0.8753501772880554,0.0,0.0,0.7453083992004395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8019521832466125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759307324886322,0.8649805188179016,0.7706708908081055,0.8073253035545349,1.0395948886871338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.9997173547744751,0.8413156867027283,1.4049338102340698,0.7124063372612,1.2437951564788818,0.9426245093345642,1.0276060104370117,1.0297435522079468,0.7097063660621643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081752896308899,0.0,0.0,0.0,0.0,0.0,0.7807637453079224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8689839839935303,0.7556260824203491,1.2021243572235107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8214254379272461,1.0300925970077515,0.8522793650627136,0.9036220908164978,0.0,0.8698685169219971,0.0,0.0,0.7488200664520264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018866181373596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7629013061523438,0.8571420311927795,0.772533655166626,0.8147532343864441,1.0327621698379517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1.0062906742095947,0.8336434960365295,1.4152666330337524,0.7187318205833435,1.2354000806808472,0.9516523480415344,1.0176767110824585,1.0366301536560059,0.7048094272613525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0755401849746704,0.0,0.0,0.0,0.0,0.0,0.7880743741989136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8693097233772278,0.7624583840370178,1.1931333541870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8286461234092712,1.0224857330322266,0.8604196906089783,0.8988216519355774,0.0,0.8643528819084167,0.0,0.0,0.7522851824760437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017145991325378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7664476037025452,0.849378764629364,0.7743111252784729,0.8222599029541016,1.025855302810669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,1.0127954483032227,0.8260497450828552,1.4252301454544067,0.7251250147819519,1.2268327474594116,0.9607738256454468,1.007848858833313,1.043440341949463,0.6999248266220093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0691968202590942,0.0,0.0,0.0,0.0,0.0,0.7954701781272888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8695045709609985,0.769364058971405,1.184049129486084,0.6994272470474243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8359274864196777,1.0148460865020752,0.8686521053314209,0.8939499855041504,0.0,0.8588071465492249,0.0,0.0,0.7557013630867004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.801436185836792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7699437141418457,0.8416908383369446,0.7760015726089478,0.8298456072807312,1.018882393836975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,1.0192244052886963,0.8185340166091919,1.4347304105758667,0.7315866351127625,1.2181137800216675,0.9699890613555908,0.99812251329422,1.0501655340194702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0627330541610718,0.0,0.0,0.0,0.0,0.0,0.8029520511627197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8695682287216187,0.7763437032699585,1.1748861074447632,0.7026352882385254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8432689309120178,1.0071803331375122,0.8769773244857788,0.8890117406845093,0.0,0.8532350063323975,0.0,0.0,0.7590662837028503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8010517358779907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7733872532844543,0.8340781331062317,0.7776034474372864,0.8375107645988464,1.0118508338928223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,1.0255699157714844,0.8110960721969604,1.4436511993408203,0.7381172776222229,1.209262490272522,0.9792978763580322,0.9884975552558899,1.0567970275878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0561587810516357,0.0,0.0,0.0,0.0,0.0,0.8105209469795227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8695006370544434,0.7833979725837708,1.1656579971313477,0.7058072686195374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8506698608398438,0.9994946718215942,0.885395884513855,0.8840115666389465,0.0,0.8476399779319763,0.0,0.0,0.7623775005340576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8005616664886475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7767755389213562,0.8265406489372253,0.7791151404380798,0.8452556133270264,1.004767894744873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,1.0318241119384766,0.8037354350090027,1.4518502950668335,0.7447175979614258,1.2002965211868286,0.9887001514434814,0.9789737462997437,1.0633258819580078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0494834184646606,0.0,0.0,0.0,0.0,0.0,0.8181777596473694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8693019151687622,0.7905272245407104,1.156376838684082,0.7089412808418274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8581293821334839,0.9917951226234436,0.8939084410667419,0.8789538741111755,0.0,0.8420255184173584,0.0,0.0,0.7656325101852417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999665141105652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7801061272621155,0.819078266620636,0.7805351614952087,0.8530804514884949,0.9976404309272766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,1.0379786491394043,0.7964516878128052,1.459157943725586,0.7513881921768188,1.1912323236465454,0.9981955885887146,0.9695509672164917,1.0697423219680786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.042716145515442,0.0,0.0,0.0,0.0,0.0,0.8259233832359314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8689723610877991,0.7977320551872253,1.1470543146133423,0.7120355367660522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656466007232666,0.9840870499610901,0.9025154709815979,0.8738429546356201,0.0,0.8363948464393616,0.0,0.0,0.7688289880752563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992668747901917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833764553070068,0.8116908073425293,0.781862199306488,0.8609854578971863,0.990475058555603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,1.044025182723999,0.7892444729804993,1.465378999710083,0.7581295967102051,1.1820847988128662,1.0077838897705078,0.9602289795875549,1.0760366916656494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0358659029006958,0.0,0.0,0.0,0.0,0.0,0.8337587118148804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8685123324394226,0.8050129413604736,1.1377006769180298,0.7150882482528687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8732205629348755,0.9763758182525635,0.911217451095581,0.8686831593513489,0.0,0.8307511806488037,0.0,0.0,0.7719642519950867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7984635829925537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7865839600563049,0.8043780326843262,0.7830948829650879,0.8689706921577454,0.9832779765129089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
