,time,660,682,704,705,726,727,749,750,771,772,794,816,817,839,1198,1220,1242,1243,1265,1287,1288,1309,1310,1332,1333,1354,1355,1377,1221,683,1266,795,728,638,1176,1311,773,862,1244,661,1378,1199,706,1400,840,1289,1356,751,818,1334,684,1222,1267,796,729,1312,1177,863,1401,1379,774,1245,662,707,841,1200,1290,1357,752,819,1335,685,1223,1268,797,730,1313,1402,864,1380,775,1246,842,708,1358,663,1291,1201,753,820,1336,686,1269,1224,798,731,1403,1314
0,0,0.6580021381378174,0.8976906538009644,0.37795203924179077,0.27592262625694275,0.19124257564544678,0.32695889472961426,0.2204190194606781,-99.0,0.2969874143600464,0.4669899344444275,0.4820169508457184,0.2660830020904541,0.20049263536930084,0.23788245022296906,0.2680039405822754,0.3286636173725128,0.23697279393672943,0.3187580406665802,0.22916458547115326,0.5275222063064575,0.9609653949737549,0.23597308993339539,0.49520090222358704,0.20241379737854004,0.6882516741752625,0.2923315465450287,0.4358327090740204,0.18995028734207153,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1,1,0.6639172434806824,0.8968743085861206,0.37594616413116455,0.27782726287841797,0.18948112428188324,0.32789528369903564,0.22006459534168243,-99.0,0.2948777675628662,0.4700426757335663,0.4820956587791443,0.26497650146484375,0.20176100730895996,0.23842117190361023,0.26828572154045105,0.3274576663970947,0.23525334894657135,0.3173767924308777,0.22738750278949738,0.5231585502624512,0.9559987783432007,0.2339976280927658,0.4911370575428009,0.20071497559547424,0.6920437216758728,0.2907382845878601,0.4348198175430298,0.18900269269943237,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
2,2,0.6699004173278809,0.8959138989448547,0.3739408254623413,0.2797393798828125,0.1877291053533554,0.3288213610649109,0.21970254182815552,-99.0,0.29277822375297546,0.47310811281204224,0.48214399814605713,0.26386579871177673,0.2030305713415146,0.2389523684978485,0.26855725049972534,0.3262445330619812,0.23354050517082214,0.31599128246307373,0.2256184220314026,0.5188381671905518,0.9509357213973999,0.2320336550474167,0.4871123731136322,0.19902393221855164,0.6958154439926147,0.28914567828178406,0.43378645181655884,0.18805275857448578,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
3,3,0.6759526133537292,0.8948107361793518,0.37193620204925537,0.28165900707244873,0.18598642945289612,0.3297369182109833,0.21933293342590332,-99.0,0.29068875312805176,0.4761860966682434,0.48216187953948975,0.2627509832382202,0.20430129766464233,0.23947598040103912,0.2688184380531311,0.32502442598342896,0.23183423280715942,0.3146016597747803,0.22385729849338531,0.5145604610443115,0.9457821846008301,0.23008102178573608,0.4831262230873108,0.19734065234661102,0.6995649933815002,0.2875538468360901,0.43273302912712097,0.18710055947303772,0.2540311813354492,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
4,4,0.6820748448371887,0.8935664296150208,0.36993247270584106,0.2835861146450043,0.18425299227237701,0.33064183592796326,0.21895578503608704,-99.0,0.2886092960834503,0.4792764484882355,0.4821493327617645,0.26163217425346375,0.2055731564760208,0.2399919182062149,0.2690693140029907,0.3237974941730499,0.2301345020532608,0.31320813298225403,0.22210407257080078,0.5103248357772827,0.940544068813324,0.22813960909843445,0.47917813062667847,0.19566503167152405,0.7032907009124756,0.28596287965774536,0.4316598176956177,0.18614614009857178,0.2540720999240875,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
5,5,0.6882680058479309,0.8921827077865601,0.3679298460483551,0.2855207324028015,0.18252868950366974,0.3315359055995941,0.21857117116451263,-99.0,0.286539763212204,0.4823789596557617,0.48210638761520386,0.2605094909667969,0.20684610307216644,0.24050013720989227,0.26930975914001465,0.32256394624710083,0.2284412831068039,0.31181082129478455,0.2203586846590042,0.5061306357383728,0.93522709608078,0.22620931267738342,0.47526752948760986,0.19399704039096832,0.706990659236908,0.28437289595603943,0.4305671155452728,0.18518957495689392,0.25410303473472595,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
6,6,0.694533109664917,0.8906614780426025,0.3659285008907318,0.28746286034584045,0.18081346154212952,0.3324189782142639,0.2181791216135025,-99.0,0.28448015451431274,0.4854934513568878,0.48203301429748535,0.25938302278518677,0.20812007784843445,0.24100054800510406,0.26953980326652527,0.3213239312171936,0.2267545610666275,0.31040993332862854,0.21862107515335083,0.5019773840904236,0.9298369884490967,0.22429001331329346,0.4713939130306244,0.19233658909797668,0.7106629610061646,0.28278398513793945,0.42945531010627747,0.18423090875148773,0.2541239857673645,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
7,7,0.7008711695671082,0.8890047669410706,0.3639286160469055,0.2894125282764435,0.1791071742773056,0.33329087495803833,0.21777968108654022,-99.0,0.28243041038513184,0.48861968517303467,0.4819292426109314,0.2582528591156006,0.20939505100250244,0.2414930909872055,0.2697593569755554,0.32007765769958496,0.22507432103157043,0.3090055584907532,0.21689121425151825,0.49786442518234253,0.9243791103363037,0.2223815768957138,0.46755674481391907,0.19068364799022675,0.7143056988716125,0.2811962366104126,0.42832469940185547,0.18327023088932037,0.2541349530220032,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
8,8,0.7072831988334656,0.8872148990631104,0.36193040013313293,0.2913697063922882,0.17740976810455322,0.3341514468193054,0.21737292408943176,-99.0,0.2803904414176941,0.49175745248794556,0.48179513216018677,0.25711917877197266,0.21067097783088684,0.24197770655155182,0.2699684202671051,0.31882527470588684,0.22340050339698792,0.30759790539741516,0.2151690423488617,0.49379125237464905,0.9188588857650757,0.2204838991165161,0.4637555480003357,0.18903815746307373,0.7179168462753296,0.279609739780426,0.4271756112575531,0.18230757117271423,0.25413596630096436,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
9,9,0.7137701511383057,0.8852941989898682,0.359934002161026,0.293334424495697,0.17572113871574402,0.33500051498413086,0.2169588804244995,-99.0,0.2783602178096771,0.4949065148830414,0.48163074254989624,0.25598201155662537,0.21194779872894287,0.24245432019233704,0.27016696333885193,0.31756696105003357,0.22173312306404114,0.30618712306022644,0.2134544998407364,0.4897572994232178,0.9132813215255737,0.21859687566757202,0.4599897861480713,0.18740004301071167,0.7214944958686829,0.2780245840549469,0.4260083734989166,0.18134301900863647,0.25412699580192566,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
10,10,0.7203330397605896,0.8832451701164246,0.35793957114219666,0.2953066825866699,-99.0,0.3358379006385803,0.21653759479522705,-99.0,0.27633967995643616,0.49806657433509827,0.4814361333847046,0.25484147667884827,0.21322548389434814,0.24292288720607758,0.27035489678382874,0.3163028955459595,0.22007212042808533,0.30477333068847656,0.21174752712249756,0.48576197028160095,0.9076515436172485,0.21672038733959198,0.45625898241996765,0.1857692450284958,0.7250365018844604,0.27644088864326477,0.4248233437538147,0.18037660419940948,0.2541080415248871,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
