,time,731,753,754,776,798,799,820,821,843,865,866,888,1360,1382,1404,1405,1426,1427,1449,1450,1471,1472,1494,1516,844,732,777,1517,1383,1428,1539,1495,822,755,1473,889,800,1406,867,1451,1361,845,1496,778,1518,733,1474,1384,1429,823,912,890,1452,756,801,868,1407,1430,1519,846,1497,1362,779,734,1475,1408,824,1385,913,891,1453,757,802,869,1386,1520,1431,1498,847,780,1476
0,0,1503.841125,1568.71075,1245.205375,707.986625,853.1785625,1362.623125,1501.24825,861.9594375,953.174,1542.143125,1606.748,1607.764,1727.78375,1246.143625,1194.245125,1465.482375,1606.28125,782.037375,614.4723125,1717.6775,1192.54075,1187.03275,1078.5195,1480.155625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1506.581125,1574.166125,1241.53125,707.91475,858.5321875,1356.267875,1507.391375,857.39125,954.130625,1545.892875,1602.27625,1606.44375,1725.220125,1246.591,1198.840875,1460.2855,1612.686375,778.3945625,617.53575,1711.099875,1197.976,1181.35425,1076.48525,1481.663125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1509.348,1579.632875,1237.885625,707.9120625,863.909125,1349.918375,1513.541125,852.8555,955.136875,1549.664125,1597.821375,1605.151375,1722.67975,1247.076375,1203.459,1455.102875,1619.0955,774.797375,620.6629375,1704.52475,1203.427125,1175.6895,1074.4925,1483.201625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,1512.14175,1585.111125,1234.2685,707.97875,869.3088125,1343.574625,1519.6975,848.3526875,956.1925625,1553.456625,1593.3835,1603.887375,1720.163,1247.599875,1208.099125,1449.934625,1625.508625,771.2465625,623.8529375,1697.952125,1208.89375,1170.03875,1072.541625,1484.771125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,1514.962,1590.6005,1230.680375,708.114625,874.7309375,1337.236875,1525.86025,843.8835,957.2975,1557.270375,1588.963,1602.6515,1717.669625,1248.161375,1212.761,1444.780875,1631.925625,767.74275,627.1048125,1691.382125,1214.37575,1164.402375,1070.632625,1486.3715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,1517.808875,1596.101125,1227.121375,708.3196875,880.175,1330.90525,1532.0295,839.4483125,958.451625,1561.105,1584.55975,1601.443875,1715.2,1248.760875,1217.44425,1439.641875,1638.346375,764.2865,630.4175625,1684.81475,1219.872875,1158.780375,1068.766,1488.00275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,1520.682,1601.612625,1223.59175,708.5939375,885.640625,1324.579625,1538.204875,835.04775,959.654625,1564.9605,1580.174,1600.26475,1712.754125,1249.39825,1222.148875,1434.51775,1644.771,760.878625,633.7901875,1678.249875,1225.385,1153.173,1066.941625,1489.664625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,1523.581375,1607.135125,1220.091875,708.9371875,891.1274375,1318.260125,1544.386625,830.682375,960.906375,1568.83675,1575.806,1599.114,1710.332125,1250.073375,1226.8745,1429.408625,1651.199375,757.519625,637.2218125,1671.687875,1230.911875,1147.5805,1065.160125,1491.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,1526.506625,1612.668375,1216.621875,709.3494375,896.635,1311.947,1550.574375,826.3526875,962.20675,1572.7335,1571.45575,1597.99175,1707.934125,1250.78625,1231.620875,1424.31475,1657.631375,754.2103125,640.7114375,1665.1285,1236.45325,1142.00325,1063.421375,1493.079875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
